id_pedido,id_cliente,fecha_compra,articulo,cantidad,ingreso_total
ORD-00001,CUST-1226,2026-07-20 14:00:00,Remera Sublimada,5,55936.69
ORD-00002,CUST-1559,2026-07-12 04:00:00,Remera Sublimada,2,32473.85
ORD-00003,CUST-960,2026-06-14 06:00:00,Remera Sublimada,1,23232.07
ORD-00004,CUST-1394,2026-07-03 00:00:00,Buzo Canguro,5,69909.77
ORD-00005,CUST-1230,2026-03-27 06:00:00,Remera Algodón,5,93169.85
ORD-00006,CUST-1195,2026-03-29 11:00:00,Remera Sublimada,1,14310.29
ORD-00007,CUST-1824,2026-02-16 15:00:00,Taza Cerámica,1,7426.88
ORD-00008,CUST-1144,,Taza Cerámica,3,18515.86
ORD-00009,CUST-1738,2026-06-15 03:00:00,Taza Cerámica,4,96181.92
ORD-00010,CUST-221,2026-05-22 18:00:00,Remera Sublimada,5,86254.18
ORD-00011,CUST-566,2026-07-10 10:00:00,Gorra,3,21228.89
ORD-00012,CUST-1338,2026-02-08 00:00:00,Remera Sublimada,3,66446.31
ORD-00013,CUST-430,2026-03-17 21:00:00,Taza Cerámica,5,77269.31
ORD-00014,CUST-1582,2026-03-31 03:00:00,Remera Sublimada,5,102193.21
ORD-00015,CUST-187,2026-05-15 02:00:00,Buzo Canguro,2,15070.25
ORD-00016,CUST-1496,2026-07-07 08:00:00,Gorra,4,92552.83
ORD-00017,CUST-1223,2026-07-07 01:00:00,Remera Sublimada,5,84053.54
ORD-00018,CUST-971,2026-07-06 12:00:00,Remera Sublimada,1,19765.21
ORD-00019,CUST-1787,,Taza Cerámica,2,11255.19
ORD-00020,CUST-230,2026-07-22 03:00:00,Buzo Canguro,4,45224.39
ORD-00021,CUST-1785,2026-05-01 07:00:00,Buzo Canguro,1,10348.91
ORD-00022,CUST-1432,2026-06-17 22:00:00,Remera Sublimada,1,23991.9
ORD-00023,CUST-869,2026-06-13 19:00:00,Remera Sublimada,4,34827.09
ORD-00024,CUST-443,2026-07-28 10:00:00,Buzo Canguro,2,38282.07
ORD-00025,CUST-1615,2026-06-23 21:00:00,Remera Sublimada,1,5855.07
ORD-00026,CUST-1537,2026-02-17 11:00:00,Remera Algodón,3,26861.05
ORD-00027,CUST-905,2026-05-17 09:00:00,Remera Sublimada,4,47087.79
ORD-00028,CUST-485,15/05/2026,Buzo Canguro,4,83560.47
ORD-00029,CUST-1315,2026-02-11 12:00:00,Remera Sublimada,5,103997.66
ORD-00030,CUST-1055,2026-05-15 03:00:00,Remera Sublimada,2,48104.07
ORD-00031,CUST-376,2026-05-06 10:00:00,Taza Cerámica,3,70006.05
ORD-00032,CUST-1284,2026-04-06 16:00:00,Buzo Canguro,3,19890.88
ORD-00033,CUST-559,2026-07-25 19:00:00,Remera Sublimada,5,107986.77
ORD-00034,CUST-1437,2026-05-13 21:00:00,Remera Sublimada,1,14023.47
ORD-00035,CUST-121,2026-03-29 14:00:00,Remera Sublimada,1,22317.72
ORD-00036,CUST-352,2026-07-09 08:00:00,Taza Cerámica,3,20357.18
ORD-00037,CUST-847,2026-07-24 17:00:00,Buzo Canguro,2,42910.76
ORD-00038,CUST-956,2026-02-26 16:00:00,Remera Sublimada,1,8192.85
ORD-00039,CUST-1684,2026-05-25 04:00:00,Buzo Canguro,4,46707.33
ORD-00040,CUST-574,2026-04-25 19:00:00,Taza Cerámica,5,27884.84
ORD-00041,CUST-1182,2026-05-16 10:00:00,Gorra,2,14949.12
ORD-00042,CUST-610,2026-03-26 00:00:00,Remera Algodón,1,13914.52
ORD-00043,CUST-1805,2026-07-28 05:00:00,Remera Sublimada,3,64100.3
ORD-00044,CUST-1599,2026-07-05 01:00:00,Remera Sublimada,5,102366.98
ORD-00045,CUST-799,2026-02-15 20:00:00,Remera Sublimada,1,9705.96
ORD-00046,CUST-1075,2026-03-18 04:00:00,Taza Cerámica,3,24101.43
ORD-00047,CUST-1906,2026-06-14 05:00:00,Remera Algodón,1,12785.27
ORD-00048,CUST-289,2026-04-03 21:00:00,Buzo Canguro,5,113326.83
ORD-00049,CUST-1057,2026-04-19 09:00:00,Remera Sublimada,4,27314.01
ORD-00050,CUST-786,2026-03-18 12:00:00,Buzo Canguro,4,63433.12
ORD-00051,CUST-1057,2026-02-03 05:00:00,Remera Sublimada,3,20328.45
ORD-00052,CUST-662,2026-05-04 07:00:00,Remera Sublimada,4,57616.97
ORD-00053,CUST-1999,2026-07-22 12:00:00,Buzo Canguro,5,37679.15
ORD-00054,CUST-1690,2026-05-19 00:00:00,Remera Sublimada,3,19820.22
ORD-00055,CUST-1367,2026-04-16 12:00:00,Remera Sublimada,1,8816.99
ORD-00056,CUST-931,2026-03-22 10:00:00,Taza Cerámica,2,20210.24
ORD-00057,CUST-1628,2026-05-06 11:00:00,Remera Sublimada,1,10525.31
ORD-00058,CUST-1254,2026-04-11 08:00:00,Remera Sublimada,5,89526.79
ORD-00059,CUST-1608,2026-02-16 03:00:00,Remera Sublimada,3,18298.91
ORD-00060,CUST-1942,2026-05-10 15:00:00,Gorra,1,6616.18
ORD-00061,CUST-746,2026-04-05 11:00:00,Taza Cerámica,3,26322.37
ORD-00062,CUST-120,2026-06-19 04:00:00,Remera Sublimada,4,89765.05
ORD-00063,CUST-940,2026-04-30 17:00:00,Buzo Canguro,2,35144.2
ORD-00064,CUST-266,2026-02-19 22:00:00,Remera Sublimada,5,98036.97
ORD-00065,CUST-1397,2026-03-27 05:00:00,Buzo Canguro,1,12407.24
ORD-00066,CUST-487,2026-05-29 17:00:00,Taza Cerámica,2,18528.81
ORD-00067,CUST-700,2026-07-04 05:00:00,Gorra,5,28796.14
ORD-00068,CUST-415,2026-02-04 11:00:00,Buzo Canguro,5,73853.56
ORD-00069,CUST-113,2026-05-26 01:00:00,Remera Algodón,4,65942.48
ORD-00070,CUST-341,2026-02-17 10:00:00,Remera Algodón,3,68820.17
ORD-00071,CUST-876,2026-03-15 20:00:00,Gorra,3,67925.58
ORD-00072,CUST-1469,2026-04-21 01:00:00,Buzo Canguro,2,26987.41
ORD-00073,CUST-664,2026-07-12 22:00:00,Remera Sublimada,4,53886.23
ORD-00074,CUST-997,2026-02-08 12:00:00,Remera Sublimada,5,41112.29
ORD-00075,CUST-1463,2026-05-17 07:00:00,Remera Sublimada,4,40595.92
ORD-00076,CUST-191,2026-05-07 03:00:00,Remera Sublimada,4,94053.09
ORD-00077,CUST-1490,2026-05-05 00:00:00,Taza Cerámica,2,15641.44
ORD-00078,CUST-1055,2026-07-21 06:00:00,Buzo Canguro,3,73121.97
ORD-00079,CUST-1578,2026-04-22 19:00:00,Remera Algodón,4,60379.08
ORD-00080,CUST-1551,2026-04-29 17:00:00,Remera Sublimada,4,-56528.54
ORD-00081,CUST-608,2026-04-27 21:00:00,Remera Sublimada,4,33971.07
ORD-00082,CUST-875,2026-03-16 08:00:00,Taza Cerámica,1,18230.83
ORD-00083,CUST-134,2026-07-15 09:00:00,Remera Sublimada,4,56787.64
ORD-00084,CUST-305,2026-03-08 04:00:00,Remera Sublimada,4,49653.05
ORD-00085,CUST-1204,2026-07-06 09:00:00,Remera Algodón,5,51451.62
ORD-00086,CUST-1685,2026-07-21 20:00:00,Taza Cerámica,1,6329.74
ORD-00087,CUST-1995,2026-07-20 07:00:00,Buzo Canguro,4,61546.25
ORD-00088,CUST-1511,2026-04-07 22:00:00,Gorra,4,45032.67
ORD-00089,CUST-1125,2026-07-26 21:00:00,Taza Cerámica,2,38314.61
ORD-00090,CUST-1121,2026-05-12 02:00:00,Taza Cerámica,2,38940.89
ORD-00091,CUST-1513,2026-05-19 12:00:00,Gorra,1,11642.14
ORD-00092,CUST-665,2026-07-23 09:00:00,Remera Sublimada,5,91912.07
ORD-00093,CUST-1229,2026-02-09 21:00:00,Buzo Canguro,1,10173.5
ORD-00094,CUST-1895,2026-07-05 01:00:00,Remera Sublimada,1,19543.47
ORD-00095,CUST-1945,2026-06-09 06:00:00,Remera Sublimada,2,10643.09
ORD-00096,CUST-1600,2026-04-08 19:00:00,Remera Algodón,2,16064.35
ORD-00097,CUST-802,2026-06-28 20:00:00,Buzo Canguro,5,49500.87
ORD-00098,CUST-501,2026-05-05 02:00:00,Taza Cerámica,4,81834.84
ORD-00099,CUST-829,2026-05-10 16:00:00,Gorra,5,31637.63
ORD-00100,CUST-1679,2026-05-14 13:00:00,Remera Algodón,4,35044.57
ORD-00101,CUST-261,2026-02-17 17:00:00,Gorra,3,36517.45
ORD-00102,CUST-301,2026-07-23 19:00:00,Buzo Canguro,2,10367.0
ORD-00103,CUST-1095,2026-05-04 19:00:00,Remera Sublimada,3,60727.26
ORD-00104,CUST-369,2026-05-02 17:00:00,Remera Sublimada,3,48606.31
ORD-00105,CUST-1986,2026-04-09 00:00:00,Buzo Canguro,2,46027.18
ORD-00106,CUST-915,2026-05-25 00:00:00,Remera Sublimada,3,16861.86
ORD-00107,CUST-1394,2026-03-30 12:00:00,Buzo Canguro,1,10427.81
ORD-00108,CUST-555,2026-06-28 19:00:00,Taza Cerámica,4,78500.13
ORD-00109,CUST-1585,2026-04-28 09:00:00,Remera Algodón,5,92514.94
ORD-00110,CUST-1850,2026-03-31 10:00:00,Taza Cerámica,2,19722.3
ORD-00111,CUST-1375,2026-03-13 08:00:00,Buzo Canguro,1,16913.75
ORD-00112,CUST-1116,2026-06-13 00:00:00,Remera Sublimada,5,104375.77
ORD-00113,CUST-1825,2026-06-25 21:00:00,Remera Sublimada,5,28338.07
ORD-00114,CUST-395,2026-05-09 12:00:00,Remera Sublimada,5,96762.84
ORD-00115,CUST-1848,2026-07-19 03:00:00,Taza Cerámica,3,30125.82
ORD-00116,CUST-819,2026-06-19 18:00:00,Remera Sublimada,3,71871.08
ORD-00117,CUST-1872,2026-06-29 02:00:00,Taza Cerámica,3,47293.21
ORD-00118,CUST-437,15/05/2026,Buzo Canguro,3,17003.17
ORD-00119,CUST-978,2026-06-27 12:00:00,Remera Sublimada,1,13068.61
ORD-00120,CUST-1176,2026-03-19 22:00:00,Remera Sublimada,3,72978.71
ORD-00121,CUST-891,2026-04-12 07:00:00,Buzo Canguro,2,39214.92
ORD-00122,CUST-316,2026-06-13 20:00:00,Buzo Canguro,5,55047.9
ORD-00123,CUST-863,2026-06-12 22:00:00,Taza Cerámica,1,16505.35
ORD-00124,CUST-287,2026-05-17 19:00:00,Taza Cerámica,3,50946.08
ORD-00125,CUST-479,2026-06-23 17:00:00,Buzo Canguro,5,27334.82
ORD-00126,CUST-592,2026-05-27 12:00:00,Gorra,1,8576.67
ORD-00127,CUST-1164,,Buzo Canguro,5,80177.69
ORD-00128,CUST-1280,2026-05-23 18:00:00,Remera Algodón,1,13055.05
ORD-00129,CUST-114,2026-05-23 06:00:00,Remera Sublimada,4,35203.03
ORD-00130,CUST-1936,2026-03-18 13:00:00,Taza Cerámica,1,20453.37
ORD-00131,CUST-164,2026-04-09 14:00:00,Remera Sublimada,3,-44339.69
ORD-00132,CUST-1980,2026-07-15 00:00:00,Remera Sublimada,5,55997.31
ORD-00133,CUST-1962,2026-05-22 07:00:00,Remera Sublimada,5,41167.73
ORD-00134,CUST-620,2026-07-14 01:00:00,Buzo Canguro,5,86116.34
ORD-00135,CUST-1467,2026-02-24 09:00:00,Remera Sublimada,2,36650.45
ORD-00136,CUST-1252,15/05/2026,Remera Sublimada,2,36783.89
ORD-00137,CUST-747,2026-03-06 16:00:00,Remera Algodón,3,28217.24
ORD-00138,CUST-1595,2026-05-27 22:00:00,Gorra,4,67627.07
